row,col,weight
0.253614,0.254598,0.248803,0.242985
0.254342,0.255580,0.248549,0.241529
0.253572,0.254581,0.248811,0.243037
0.252106,0.252669,0.249309,0.245916
---
0.253164,0.255364,0.249018,0.242454
0.253074,0.255495,0.249063,0.242368
0.252334,0.254310,0.249309,0.244048
0.251721,0.253057,0.249483,0.245740
---
0.250025,0.249986,0.250025,0.249965
0.250933,0.250482,0.249368,0.249218
0.253225,0.251217,0.247831,0.247727
0.254124,0.251326,0.247268,0.247282
---
0.250079,0.250558,0.250027,0.249337
0.250935,0.249877,0.249369,0.249819
0.251326,0.249983,0.249153,0.249538
0.251017,0.250484,0.249436,0.249062
---
1.000000,0.000000,0.000000,0.000000
0.496011,0.503989,0.000000,0.000000
0.330872,0.335355,0.333774,0.000000
0.249131,0.252024,0.251224,0.247621
---
1.000000,0.000000,0.000000,0.000000
0.497753,0.502247,0.000000,0.000000
0.332923,0.335570,0.331506,0.000000
0.250657,0.252447,0.249905,0.246991
---
0.251780,0.252479,0.248699,0.247041
0.251881,0.252116,0.248531,0.247473
0.251143,0.251316,0.249156,0.248385
0.250761,0.251360,0.249548,0.248331
---
0.251279,0.249543,0.248974,0.250204
0.249692,0.249753,0.250138,0.250418
0.248053,0.250003,0.251400,0.250544
0.247884,0.249936,0.251540,0.250640
---
1.000000,0.000000,0.000000,0.000000
0.499046,0.500954,0.000000,0.000000
0.331153,0.333040,0.335806,0.000000
0.248076,0.249457,0.251035,0.251432
---
1.000000,0.000000,0.000000,0.000000
0.500453,0.499547,0.000000,0.000000
0.333250,0.333974,0.332776,0.000000
0.249762,0.250788,0.250347,0.249103
---
0.247506,0.248902,0.251316,0.252276
0.248316,0.249266,0.250864,0.251554
0.249601,0.250034,0.250215,0.250150
0.249411,0.250155,0.250380,0.250054
---
0.249554,0.248907,0.250056,0.251483
0.251058,0.249285,0.249222,0.250435
0.251642,0.249858,0.248998,0.249502
0.250975,0.249818,0.249410,0.249797
---
