epoch,loss
0,2.311866
1,2.311773
2,2.311773
3,2.311773
4,2.310265
5,2.309546
6,2.309546
7,2.308351
8,2.308351
9,2.308302
10,2.308302
11,2.305466
12,2.305466
13,2.304298
14,2.304298
15,2.304298
16,2.302880
17,2.302880
18,2.302880
19,2.302704
20,2.302704
21,2.302437
22,2.302437
23,2.302325
24,2.302325
25,2.302325
26,2.302325
27,2.302325
28,2.302220
29,2.302220
30,2.301155
31,2.299839
32,2.299576
33,2.299576
34,2.296950
35,2.296950
36,2.296950
37,2.296950
38,2.296950
39,2.296950
40,2.296950
41,2.296950
42,2.296950
43,2.295385
44,2.295385
45,2.295385
46,2.295385
47,2.295385
48,2.294753
49,2.294753
50,2.294753
51,2.293716
52,2.292298
53,2.292298
54,2.291496
55,2.288597
56,2.288597
57,2.288176
58,2.286834
59,2.286336
60,2.285481
61,2.284811
62,2.284389
63,2.280938
64,2.280938
65,2.280938
66,2.280938
67,2.280721
68,2.277934
69,2.277753
70,2.277371
71,2.277371
72,2.276700
73,2.276358
74,2.276358
75,2.276358
76,2.275959
77,2.275959
78,2.275959
79,2.275959
80,2.275959
81,2.275218
82,2.275218
83,2.275218
84,2.275218
85,2.275218
86,2.274002
87,2.273580
88,2.273483
89,2.273483
90,2.269479
91,2.269479
92,2.268372
93,2.268372
94,2.266196
95,2.266196
96,2.266196
97,2.266196
98,2.266196
99,2.266196
100,2.264528
101,2.264528
102,2.263451
103,2.263296
104,2.262480
105,2.262480
106,2.262480
107,2.262364
108,2.261429
109,2.261258
110,2.260446
111,2.260446
112,2.260208
113,2.259728
114,2.257751
115,2.257751
116,2.257751
117,2.257751
118,2.257751
119,2.257534
120,2.257534
121,2.256345
122,2.255165
123,2.255165
124,2.255165
125,2.255165
126,2.255002
127,2.252283
128,2.252283
129,2.252283
130,2.251099
131,2.250420
132,2.249999
133,2.249999
134,2.249999
135,2.249999
136,2.249999
137,2.249999
138,2.249160
139,2.249160
140,2.249160
141,2.249007
142,2.247028
143,2.246700
144,2.246700
145,2.246700
146,2.246700
147,2.244994
148,2.244735
149,2.244735
150,2.244735
151,2.244735
152,2.243497
153,2.243497
154,2.243497
155,2.243497
156,2.243123
157,2.243123
158,2.243123
159,2.242138
160,2.242138
161,2.241781
162,2.241781
163,2.241781
164,2.241317
165,2.241140
166,2.241140
167,2.238871
168,2.235684
169,2.235684
170,2.235684
171,2.235684
172,2.235684
173,2.235684
174,2.235684
175,2.235684
176,2.234752
177,2.234752
178,2.234752
179,2.234752
180,2.234752
181,2.234752
182,2.234752
183,2.234244
184,2.234244
185,2.233892
186,2.232817
187,2.232817
188,2.232738
189,2.232383
